Clock,S|R,Typ,Pckt#,Frm #,PktID,BitLn,Time     ,Local IP:Port   ,RemoteIP:Port,SPID,SPIN,SPCO,OI,Suffix,Miscellaneous
632197759: Wole2 632176469000 0 - 1.000 0.000 1.000 0.000 1.000 0.000 5.000
04/26/10 17:14:40.733259,Rcv,Nrm,   17,   28,ID_REPLICA_MANAGER_SERIALIZE,2543,632197800,127.0.0.1:12345,127.0.0.1:4943,52685,-842150451,0,12,,
04/26/10 17:14:40.733259,Snd,Nrm,   12,   13,ID_REPLICA_MANAGER_SERIALIZE,2543,632197800,127.0.0.1:12345,127.0.0.1:4944,52685,-842150451,0,11,,
04/26/10 17:14:40.748884,Rcv,Ack,12,,,,632197811,127.0.0.1:12345,127.0.0.1:4944,,,,,,
632197820: Wole2 632176469000 0 - 1.000 0.000 1.000 0.000 1.000 0.000 7.000
04/26/10 17:14:40.780133,Rcv,Nrm,   12,   23,ID_INTERNAL_PING,72,632197843,127.0.0.1:12345,127.0.0.1:4944,52685,-842150451,0,11,,
04/26/10 17:14:40.795757,Rcv,Nrm,   18,   29,ID_REPLICA_MANAGER_SERIALIZE,2543,632197854,127.0.0.1:12345,127.0.0.1:4943,52685,-842150451,0,13,,
04/26/10 17:14:40.795757,Snd,Nrm,16777215,   13,ID_CONNECTED_PONG,136,632197854,127.0.0.1:12345,127.0.0.1:4944,52685,-842150451,0,11,,
632197880: Wole2 632176469000 0 - 1.000 0.000 1.000 0.000 1.000 0.000 9.000
04/26/10 17:14:40.827006,Snd,Nrm,   13,   14,ID_REPLICA_MANAGER_SERIALIZE,2543,632197886,127.0.0.1:12345,127.0.0.1:4944,52685,-842150451,0,12,,
04/26/10 17:14:40.827006,Rcv,Ack,13,,,,632197897,127.0.0.1:12345,127.0.0.1:4944,,,,,,
04/26/10 17:14:40.858255,Rcv,Nrm,   19,   30,ID_REPLICA_MANAGER_SERIALIZE,2543,632197918,127.0.0.1:12345,127.0.0.1:4943,52685,-842150451,0,14,,
632197941: Wole2 632176469000 0 - 1.000 0.000 1.000 0.000 1.000 0.000 11.000
04/26/10 17:14:40.889503,Snd,Nrm,   14,   15,ID_REPLICA_MANAGER_SERIALIZE,2543,632197950,127.0.0.1:12345,127.0.0.1:4944,52685,-842150451,0,13,,
04/26/10 17:14:40.889503,Rcv,Ack,14,,,,632197961,127.0.0.1:12345,127.0.0.1:4944,,,,,,
04/26/10 17:14:40.920752,Rcv,Nrm,   20,   31,ID_REPLICA_MANAGER_SERIALIZE,2543,632197983,127.0.0.1:12345,127.0.0.1:4943,52685,-842150451,0,15,,
632198001: Wole2 632176469000 0 - 1.000 0.000 1.000 0.000 1.000 0.000 13.000
04/26/10 17:14:40.936377,Snd,Nrm,   15,   16,ID_REPLICA_MANAGER_SERIALIZE,2543,632198004,127.0.0.1:12345,127.0.0.1:4944,52685,-842150451,0,14,,
04/26/10 17:14:40.952001,Rcv,Nrm,   21,   32,ID_REPLICA_MANAGER_SERIALIZE,2543,632198015,127.0.0.1:12345,127.0.0.1:4943,52685,-842150451,0,16,,
